contract_id,vendor_id,item_id,contract_price,lead_time_days
1,1,567,53.92,60
2,1,251,31.8,46
3,1,62,32.78,30
4,1,54,55.82,36
5,1,515,25.01,53
6,1,232,42.62,58
7,1,285,12.4,48
8,2,220,2633.0,10
9,2,193,537.0,9
10,2,496,4139.0,6
11,2,417,3794.0,3
12,2,401,2462.0,3
13,2,537,1058.0,6
14,2,163,1813.0,4
15,2,279,4200.0,5
16,2,171,770.0,10
17,2,423,2500.0,9
18,2,333,3256.0,5
19,2,529,1681.0,9
20,2,98,2102.0,7
21,2,465,1752.0,8
22,2,52,4958.0,10
23,2,66,151.0,8
24,2,587,377.0,7
25,3,499,4784.0,10
26,3,251,2703.0,7
27,3,239,1092.0,5
28,3,235,602.0,7
29,3,108,4469.0,10
30,3,179,4690.0,9
31,3,359,202.0,3
32,4,330,2571.0,9
33,4,366,1331.0,3
34,4,393,1480.0,6
35,4,316,4398.0,9
36,4,202,4926.0,9
37,4,392,3698.0,9
38,4,306,400.0,5
39,4,215,2042.0,3
40,4,285,1054.0,6
41,4,102,2817.0,8
42,4,153,2442.0,8
43,4,197,4558.0,7
44,4,23,3096.0,4
45,5,578,1777.0,8
46,5,287,4191.0,8
47,5,23,3096.0,10
48,5,170,1441.0,6
49,5,222,2718.0,5
50,5,42,4870.0,6
51,5,392,3698.0,5
52,5,211,2054.0,8
53,5,418,4157.0,3
54,5,111,1402.0,8
55,5,236,3063.0,8
56,5,574,4977.0,4
57,5,201,4745.0,3
58,6,147,16.11,52
59,6,556,52.89,55
60,6,25,22.26,52
61,6,497,1467.48,52
62,6,115,185.31,34
63,7,294,882.0,8
64,7,351,3111.0,7
65,7,173,2246.0,9
66,7,364,2623.0,5
67,7,132,2189.0,7
68,7,561,2874.0,3
69,7,529,1681.0,10
70,7,138,1614.0,7
71,7,1,119.0,3
72,7,437,4744.0,4
73,7,342,3527.0,8
74,7,341,4548.0,6
75,7,459,4662.0,10
76,7,590,2417.0,4
77,8,19,340.0,8
78,8,36,1447.0,9
79,8,475,517.0,4
80,8,142,3963.0,3
81,8,173,2246.0,3
82,8,241,1614.0,6
83,8,95,1796.0,6
84,8,258,4034.0,8
85,8,35,1686.0,8
86,8,452,3812.0,7
87,9,318,3915.0,5
88,9,505,2229.0,10
