grn_line_id,grn_id,po_line_id,item_id,qty_received,quality_status
1,1,1,352,340,Good Condition
2,1,2,579,288,Good Condition
3,1,3,308,129,Good Condition
4,1,4,62,48,Good Condition
5,1,5,444,286,Good Condition
6,1,6,202,300,Good Condition
7,1,7,424,240,Good Condition
8,1,8,368,460,Good Condition
9,2,9,94,98,Service Accepted
10,2,10,437,72,Service Accepted
11,2,11,342,344,Service Accepted
12,2,12,199,60,Service Accepted
13,2,13,37,456,Service Accepted
14,2,14,351,313,Service Accepted
15,2,15,135,95,Service Accepted
16,2,16,68,492,Service Accepted
17,3,17,352,191,Good Condition
18,3,18,593,20,Good Condition
19,3,19,548,43,Good Condition
20,4,20,43,276,Good Condition
21,4,21,249,493,Good Condition
22,4,22,359,495,Good Condition
23,5,23,574,499,Good Condition
24,5,24,160,422,Good Condition
25,5,25,243,150,Good Condition
26,5,26,217,203,Good Condition
27,5,27,249,305,Good Condition
28,6,28,334,137,Good Condition
29,6,29,574,462,Good Condition
30,6,30,543,261,Good Condition
31,6,31,166,144,Good Condition
32,7,32,577,264,Good Condition
33,7,33,399,452,Good Condition
34,7,34,550,126,Good Condition
35,8,35,354,161,Good Condition
36,8,36,81,142,Good Condition
37,8,37,42,205,Good Condition
38,8,38,541,102,Good Condition
39,9,39,455,384,Good Condition
40,9,40,306,456,Good Condition
41,9,41,203,194,Packaging Damaged
42,9,42,524,191,Good Condition
43,9,43,493,60,Good Condition
44,10,44,490,241,Good Condition
45,10,45,514,219,Good Condition
46,10,46,372,430,Wrong Item Sent
47,11,47,535,421,Good Condition
48,11,48,318,284,Good Condition
49,11,49,293,439,Good Condition
50,11,50,513,430,Good Condition
51,11,51,23,232,Good Condition
52,12,52,391,96,Good Condition
53,12,53,550,113,Good Condition
54,12,54,424,369,Good Condition
55,12,55,510,211,Good Condition
56,12,56,125,274,Good Condition
57,12,57,157,152,Good Condition
58,13,58,77,399,Good Condition
59,13,59,462,392,Good Condition
60,13,60,360,155,Good Condition
61,13,61,488,191,Good Condition
62,13,62,570,367,Good Condition
63,14,63,211,53,Good Condition
64,14,64,30,115,Good Condition
65,14,65,192,214,Good Condition
66,15,66,456,497,Good Condition
67,15,67,290,168,Rejected - Quality Failure
68,15,68,210,472,Rejected - Quality Failure
69,15,69,422,418,Rejected - Quality Failure
70,15,70,462,115,Good Condition
71,15,71,111,457,Good Condition
72,16,72,342,313,Service Incomplete
73,16,73,95,488,Service Accepted
74,16,74,37,455,Service Accepted
75,17,75,178,375,Good Condition
76,17,76,8,395,Good Condition
77,17,77,391,146,Good Condition
78,17,78,370,180,Good Condition
79,17,79,438,41,Good Condition
80,17,80,49,461,Good Condition
81,18,81,123,337,Good Condition
82,18,82,444,232,Good Condition
83,18,83,147,272,Good Condition
84,18,84,175,77,Good Condition
85,18,85,117,420,Good Condition
86,18,86,102,73,Good Condition
87,19,87,163,220,Service Accepted
88,19,88,333,173,Service Accepted
89,19,89,193,34,Good Condition
90,19,90,587,79,Good Condition
91,19,91,401,362,Service Accepted
92,19,92,98,217,Good Condition
93,20,93,38,495,Good Condition
94,20,94,568,245,Good Condition
95,20,95,345,462,Good Condition
96,21,96,49,318,Good Condition
97,22,97,540,27,Service Accepted
98,23,98,370,434,Good Condition
99,23,99,562,77,Good Condition
100,24,100,300,122,Good Condition
101,24,101,570,88,Good Condition
102,24,102,335,119,Good Condition
103,24,103,462,129,Good Condition
104,24,104,158,195,Good Condition
105,24,105,235,471,Good Condition
106,24,106,317,276,Good Condition
107,24,107,456,302,Good Condition
108,25,108,481,466,Good Condition
109,25,109,306,444,Good Condition
110,26,110,446,499,Good Condition
111,26,111,462,201,Good Condition
112,26,112,488,354,Good Condition
113,26,113,111,167,Good Condition
114,26,114,410,487,Good Condition
115,26,115,115,386,Good Condition
116,27,116,481,101,Good Condition
117,27,117,598,357,Good Condition
118,27,118,111,32,Good Condition
119,28,119,87,365,Good Condition
120,28,120,446,442,Good Condition
121,29,121,324,30,Good Condition
122,29,122,117,339,Good Condition
123,29,123,538,227,Good Condition
124,29,124,197,58,Good Condition
125,30,125,283,118,Good Condition
126,30,126,570,87,Good Condition
127,31,127,455,425,Good Condition
128,31,128,103,134,Good Condition
129,31,129,290,85,Good Condition
130,31,130,147,42,Good Condition
131,31,131,110,254,Good Condition
132,32,132,354,42,Good Condition
133,33,133,194,354,Good Condition
134,33,134,577,422,Good Condition
135,33,135,273,327,Good Condition
136,33,136,442,335,Good Condition
137,34,137,182,109,Good Condition
138,34,138,25,208,Good Condition
139,34,139,53,248,Good Condition
140,34,140,30,201,Good Condition
141,34,141,392,493,Good Condition
142,34,142,69,226,Good Condition
143,35,143,187,360,Good Condition
144,35,144,547,150,Good Condition
145,36,145,532,140,Service Accepted
