invoice_id,po_id,grn_id,invoice_date,vendor_invoice_no,invoice_amount,currency,spend_category
1,1,1,2023-11-01,INV-8002,7036431.44,BDT,Inventory
2,2,2,2023-12-18,INV-6069,6311902.12,BDT,Opex-Marketing
3,3,3,2022-12-02,INV-5289,625881.13,BDT,Inventory
4,4,4,2021-11-23,INV-9017,2512896.0,BDT,Inventory
5,5,5,2023-03-13,INV-6289,5681057.35,BDT,Inventory
6,6,6,2022-09-07,INV-7418,264548.79,USD,Capex-IT
7,7,7,2023-02-06,INV-8785,3479638.58,BDT,Inventory
8,8,8,2023-01-28,INV-2516,1683709.68,BDT,Inventory
9,9,9,2021-03-24,INV-1176,40739.88,USD,Inventory
10,10,10,2020-11-26,INV-8126,21781.21,USD,Inventory
11,11,11,2023-12-18,INV-9251,6374313.64,BDT,Inventory
12,12,12,2023-05-07,INV-2540,325786.68,USD,Inventory
13,13,13,2021-02-03,INV-4459,598893.04,USD,Capex-IT
14,14,14,2023-07-20,INV-0024,845790.86,BDT,Inventory
15,15,15,2023-05-12,INV-1833,7012151.57,BDT,Inventory
16,16,16,2023-01-09,INV-8256,2855571.52,BDT,Opex-Marketing
17,17,17,2022-03-05,INV-0915,307259.02,USD,Inventory
18,18,18,2022-04-07,INV-5234,2426403.31,BDT,Inventory
19,19,19,2023-01-15,INV-7265,2696941.41,BDT,Opex-Marketing
20,20,20,2022-07-19,INV-5253,773643.39,USD,Capex-IT
21,21,21,2021-09-17,INV-5390,158160.48,CNY,Capex-IT
22,22,22,2023-12-10,INV-2251,66821.49,BDT,Opex-Marketing
23,23,23,2023-05-16,INV-8696,856255.96,BDT,Inventory
24,24,24,2023-09-19,INV-3388,60504.56,CNY,Inventory
25,25,25,2023-05-30,INV-6407,990544.16,BDT,Inventory
26,26,26,2023-08-27,INV-0155,198118.64,USD,Inventory
27,27,27,2021-05-30,INV-7307,698684.0,BDT,Inventory
28,28,28,2022-02-23,INV-2061,2142642.96,BDT,Inventory
29,29,29,2020-06-23,INV-6139,5986.51,CNY,Inventory
30,30,30,2022-07-21,INV-4477,6780.71,CNY,Inventory
31,31,31,2021-11-03,INV-4742,3400235.0,BDT,Inventory
32,32,32,2023-01-13,INV-0658,30085.44,BDT,Inventory
33,33,33,2021-10-19,INV-7492,3748874.0,BDT,Inventory
34,34,34,2021-09-14,INV-7270,4611331.0,BDT,Inventory
35,35,35,2023-09-13,INV-1459,1991001.0,BDT,Inventory
36,36,36,2022-06-04,INV-3403,251427.4,BDT,Opex-Marketing
37,37,37,2023-02-25,INV-4749,2128255.07,BDT,Opex-Logistics
38,38,38,2020-09-21,INV-7078,16649.3,USD,Inventory
39,39,39,2023-09-09,INV-0423,3243819.12,BDT,Opex-Facility
40,40,40,2023-08-19,INV-2971,2344052.06,BDT,Inventory
41,41,41,2021-09-18,INV-6383,3353934.0,BDT,Inventory
42,42,42,2021-12-23,INV-5678,1240041.0,BDT,Inventory
43,43,43,2023-10-28,INV-4325,4624642.32,BDT,Opex-Admin
44,44,44,2022-02-24,INV-2848,24786.96,USD,Inventory
45,45,45,2022-11-30,INV-6928,2583541.28,BDT,Inventory
46,46,46,2023-01-22,INV-9846,75417.72,USD,Inventory
47,47,47,2020-08-13,INV-4545,4713964.0,BDT,Inventory
48,48,48,2023-05-23,INV-0818,2778588.82,BDT,Inventory
49,49,49,2022-05-07,INV-1510,873940.26,BDT,Opex-Marketing
50,50,50,2021-05-06,INV-7269,1306625.0,BDT,Inventory
51,51,51,2022-09-06,INV-5704,4314228.89,BDT,Inventory
52,52,52,2023-08-15,INV-9171,1791605.83,BDT,Inventory
53,53,53,2022-11-14,INV-2559,595169.45,BDT,Opex-Marketing
54,54,54,2021-07-22,INV-1001,2743768.0,BDT,Inventory
55,55,55,2023-07-04,INV-4689,362794.23,USD,Inventory
56,56,56,2023-08-08,INV-7547,5640910.84,BDT,Inventory
57,57,57,2021-07-18,INV-4819,907189.0,BDT,Inventory
58,58,58,2023-01-04,INV-5056,6311113.09,BDT,Inventory
59,59,59,2021-11-23,INV-6758,4250593.0,BDT,Inventory
60,60,60,2022-02-26,INV-7582,2801178.4,BDT,Inventory
61,61,61,2021-02-03,INV-4233,3354776.0,BDT,Opex-Marketing
62,62,62,2023-10-16,INV-3981,4421667.6,BDT,Opex-Marketing
63,63,63,2020-10-06,INV-6668,2116365.0,BDT,Inventory
64,64,64,2023-05-30,INV-6349,83970.37,CNY,Capex-IT
65,65,65,2022-11-16,INV-5737,4145780.46,BDT,Opex-Marketing
66,66,66,2021-10-13,INV-3606,189930.0,BDT,Inventory
67,67,67,2023-09-12,INV-1513,180427.22,USD,Inventory
68,68,68,2023-11-14,INV-6258,123560.22,CNY,Capex-IT
69,69,69,2020-09-13,INV-8627,483022.75,USD,Inventory
70,70,70,2022-06-14,INV-3266,5732167.02,BDT,Inventory
71,71,71,2023-03-13,INV-3529,4146488.71,BDT,Inventory
72,72,72,2020-06-07,INV-6617,1749909.0,BDT,Opex-Facility
73,73,73,2021-06-16,INV-1971,149162.17,CNY,Capex-IT
74,74,74,2021-08-08,INV-2951,2595497.0,BDT,Inventory
75,75,75,2022-12-16,INV-3100,238787.75,USD,Capex-IT
76,76,76,2022-11-14,INV-7005,3368842.82,BDT,Inventory
77,77,77,2021-01-09,INV-9060,8395322.0,BDT,Opex-Marketing
78,78,78,2020-03-14,INV-1855,116513.0,BDT,Inventory
79,79,79,2021-05-14,INV-9038,25896.85,USD,Inventory
80,80,80,2023-02-02,INV-0470,3110791.98,BDT,Inventory
81,81,81,2023-05-05,INV-8823,856439.71,USD,Capex-IT
82,82,82,2023-01-17,INV-9565,482539.32,CNY,Inventory
83,83,83,2022-12-19,INV-7432,8753759.7,BDT,Opex-Admin
84,84,84,2020-07-30,INV-9051,3723437.0,BDT,Inventory
85,85,85,2023-08-26,INV-0501,624630.55,CNY,Inventory
86,86,86,2023-06-11,INV-1678,2452256.46,BDT,Inventory
87,87,87,2021-04-14,INV-9999,3930607.0,BDT,Inventory
88,88,88,2022-10-31,INV-4700,3903117.76,BDT,Opex-Admin
89,90,89,2023-06-30,INV-7025,903548.61,BDT,Inventory
90,91,90,2022-06-11,INV-8801,3212969.78,BDT,Inventory
91,92,91,2023-02-01,INV-3562,1204043.02,BDT,Opex-Logistics
92,93,92,2022-05-10,INV-7363,628797.15,BDT,Inventory
93,94,93,2022-10-04,INV-1833,32438.39,CNY,Inventory
94,95,94,2022-08-29,INV-3264,2842070.34,BDT,Inventory
95,96,95,2023-01-25,INV-1928,715301.43,USD,Inventory
96,97,96,2021-06-11,INV-2161,725531.45,USD,Inventory
97,98,97,2022-10-19,INV-5932,869682.51,BDT,Inventory
98,99,98,2022-10-31,INV-6033,3846942.11,BDT,Inventory
99,100,99,2020-04-10,INV-0391,209651.38,USD,Capex-IT
100,101,100,2023-10-14,INV-0877,712185.33,BDT,Opex-Marketing
101,102,101,2023-06-22,INV-0778,4573477.64,BDT,Inventory
102,103,102,2023-06-26,INV-6624,4422955.04,BDT,Inventory
103,104,103,2022-07-28,INV-3511,772931.65,USD,Capex-IT
104,105,104,2023-11-01,INV-6173,16085.04,USD,Inventory
105,106,105,2023-08-27,INV-1260,30654.31,USD,Inventory
106,107,106,2023-11-14,INV-0876,2701243.07,BDT,Inventory
107,108,107,2023-04-04,INV-4589,3012093.98,BDT,Opex-Marketing
108,109,108,2021-02-28,INV-7590,3626632.0,BDT,Inventory
109,110,109,2022-06-06,INV-5010,9461.97,USD,Inventory
110,111,110,2020-05-01,INV-0765,1849649.0,BDT,Inventory
111,112,111,2021-05-29,INV-2336,461403.0,BDT,Inventory
112,113,112,2023-11-29,INV-6488,5441186.1,BDT,Inventory
113,114,113,2022-08-01,INV-7109,1242640.08,BDT,Inventory
114,115,114,2023-07-25,INV-3323,32766.87,CNY,Inventory
115,116,115,2023-09-10,INV-2800,2454421.12,BDT,Inventory
116,117,116,2022-06-16,INV-0281,122588.17,CNY,Capex-IT
