po_id,vendor_id,pr_id,po_date,currency,exchange_rate,status,total_po_value,department_id,is_emergency_order
1,56,2305,10/22/2023,BDT,1,Released,7318953.6,5,0
2,146,0,12/9/2023,BDT,1,Released,6625865.47,2,1
3,77,239,11/17/2022,BDT,1,Released,625881.52,2,0
4,72,2139,11/17/2021,BDT,1,Released,2512896,1,0
5,101,2261,2/22/2023,BDT,1,Released,5684557.76,3,0
6,144,80,7/17/2022,USD,99.77,Released,264547.45,6,0
7,125,0,1/26/2023,BDT,1,Released,3550652.1500000004,6,0
8,57,1006,1/6/2023,BDT,1,Released,1846966.91,1,0
9,36,0,3/13/2021,USD,85.59,Released,40739.88,2,0
10,115,405,11/15/2020,USD,85.45,Released,21781.21,5,0
11,68,156,12/10/2023,BDT,1,Released,6374311.84,1,0
12,97,453,4/26/2023,USD,106.44,Released,326251.77999999997,4,0
13,19,0,1/23/2021,USD,85.51,Released,598893.0399999999,1,1
14,109,0,7/11/2023,BDT,1,Released,845790.8700000001,2,1
15,88,1266,4/20/2023,BDT,1,Released,7012147.3,2,0
16,146,1443,1/1/2023,BDT,1,Released,2855572.5,2,0
17,14,0,1/18/2022,USD,87.32,Released,307535.77999999997,5,0
18,27,1312,3/30/2022,BDT,1,Released,2479349.4000000004,1,0
19,2,0,1/2/2023,BDT,1,Released,2696941.41,1,0
20,36,150,6/15/2022,USD,97.7,Released,773642.39,2,0
21,60,50,9/1/2021,CNY,85.35,Released,158160.48,1,0
22,25,349,11/26/2023,BDT,1,Released,66821.42,3,0
23,75,869,5/5/2023,BDT,1,Released,856256.3999999999,3,0
24,149,1690,8/25/2023,CNY,107.28,Released,60503.259999999995,4,0
25,127,427,5/19/2023,BDT,1,Released,990546.38,6,0
26,13,0,8/21/2023,USD,110.2,Released,198115.33000000002,3,1
27,38,1002,5/9/2021,BDT,1,Released,698684,6,0
28,35,778,1/28/2022,BDT,1,Released,2142642.56,4,0
29,73,1904,6/10/2020,CNY,85.19,Released,7112.53,6,0
30,89,1788,6/8/2022,CNY,97.15,Released,6779.7699999999995,1,0
31,148,118,10/17/2021,BDT,1,Released,3400235,1,0
32,65,903,1/1/2023,BDT,1,Released,30085.48,6,0
33,18,0,10/8/2021,BDT,1,Released,3748874,3,0
34,136,0,8/27/2021,BDT,1,Released,4611331,1,0
35,78,1167,8/30/2023,BDT,1,Released,1991001.14,2,0
36,147,771,5/24/2022,BDT,1,Released,251427.98,1,0
37,7,1472,2/15/2023,BDT,1,Released,2128255.39,1,0
38,1,0,9/10/2020,USD,84.55,Released,16649.3,6,0
39,7,1046,8/30/2023,BDT,1,Released,3410139.84,1,0
40,18,1614,8/9/2023,BDT,1,Released,2344055.83,3,0
41,57,1495,8/29/2021,BDT,1,Released,3571014,1,0
42,45,2370,11/30/2021,BDT,1,Released,1240041,3,0
