po_line_id,po_id,item_id,quantity,unit_price,line_amount
1,1,352.0,340,1790.5,608768.31
2,1,579.0,288,2431.49,700270.39
3,1,308.0,129,1352.74,174503.75
4,1,62.0,48,3194.44,153332.96
5,1,444.0,286,4958.49,1418128.09
6,1,202.0,348,5885.89,2048290.97
7,1,424.0,240,2500.49,600118.32
8,1,368.0,460,3512.05,1615540.81
9,2,94.0,98,2532.84,248218.05
10,2,437.0,72,5393.1,388303.19
11,2,342.0,344,3815.88,1312662.22
12,2,199.0,60,272.9,16373.87
13,2,37.0,456,1288.49,587553.06
14,2,351.0,398,3693.69,1470090.01
15,2,135.0,95,3701.21,351614.63
16,2,68.0,492,4575.31,2251050.44
17,3,352.0,191,1748.25,333916.04
18,3,593.0,20,2714.23,54284.67
19,3,548.0,43,5527.46,237680.81
20,4,43.0,276,2880.0,794880.0
21,4,249.0,493,3282.0,1618026.0
22,4,359.0,495,202.0,99990.0
23,5,574.0,499,5318.74,2654053.49
24,5,160.0,422,2573.66,1086086.35
25,5,243.0,174,145.6,25334.94
26,5,217.0,203,3546.49,719938.12
27,5,249.0,305,3931.62,1199144.86
28,6,334.0,137,176.61,24195.97
29,6,574.0,462,61.99,28637.71
30,6,543.0,261,31.28,8163.37
31,6,166.0,144,1413.54,203550.4
32,7,577.0,264,5838.43,1541344.56
33,7,399.0,452,3722.65,1682636.87
34,7,550.0,161,2029.01,326670.72
35,8,354.0,161,752.51,121153.42
36,8,81.0,142,855.17,121434.73
37,8,42.0,234,5629.53,1317310.93
38,8,541.0,102,2814.39,287067.83
39,9,455.0,384,45.88,17617.92
40,9,306.0,456,4.71,2147.76
41,9,203.0,194,56.14,10891.16
42,9,524.0,191,34.64,6616.24
43,9,493.0,60,57.78,3466.8
44,10,490.0,241,44.78,10791.98
45,10,514.0,219,33.47,7329.93
46,10,372.0,430,8.51,3659.3
47,11,535.0,421,2829.51,1191222.76
48,11,318.0,284,4174.24,1185485.35
49,11,293.0,439,3419.27,1501058.16
50,11,513.0,430,3963.48,1704296.15
51,11,23.0,232,3414.87,792249.42
52,12,391.0,123,17.21,2116.91
53,12,550.0,113,25.32,2861.29
54,12,424.0,369,29.58,10915.77
55,12,510.0,211,61.88,13056.02
56,12,125.0,274,63.07,17282.05
57,12,157.0,152,1842.24,280019.74
58,13,77.0,399,827.84,330308.16
59,13,462.0,392,46.76,18329.92
60,13,360.0,155,1252.56,194146.8
61,13,488.0,191,191.0,36481.0
62,13,570.0,367,53.48,19627.16
63,14,211.0,53,2264.1,119997.46
64,14,30.0,115,3171.98,364777.78
65,14,192.0,214,1686.99,361015.63
66,15,456.0,497,3373.77,1676763.37
67,15,290.0,168,1433.71,240862.97
68,15,210.0,472,5398.2,2547949.03
69,15,422.0,418,3196.92,1336312.3
70,15,462.0,115,4477.03,514858.51
71,15,111.0,457,1521.67,695401.12
72,16,342.0,313,3929.91,1230060.57
73,16,95.0,488,2055.48,1003075.62
74,16,37.0,455,1367.99,622436.31
75,17,178.0,375,63.14,23678.15
76,17,8.0,395,15.4,6082.54
77,17,391.0,146,17.26,2520.12
78,17,370.0,180,16.63,2993.0
79,17,438.0,57,17.31,986.86
80,17,49.0,461,588.45,271275.11
81,18,123.0,399,853.97,340733.29
82,18,444.0,232,4990.38,1157769.09
83,18,147.0,272,1557.03,423511.78
84,18,175.0,77,2163.37,166579.8
85,18,117.0,420,367.65,154412.62
86,18,102.0,73,3237.57,236342.82
87,19,163.0,220,1904.82,419061.27
88,19,333.0,173,3700.23,640139.0
89,19,193.0,34,589.29,20035.84
90,19,587.0,79,438.33,34628.2
91,19,401.0,362,2899.37,1049571.91
92,19,98.0,217,2458.55,533505.19
93,20,38.0,495,1504.95,744949.8
94,20,568.0,245,16.38,4013.07
95,20,345.0,462,53.42,24679.52
96,21,49.0,318,497.36,158160.48
97,22,540.0,27,2474.87,66821.42
98,23,370.0,434,1355.18,588148.45
99,23,562.0,77,3481.92,268107.95
100,24,300.0,122,51.87,6327.66
101,24,570.0,88,61.37,5400.3
102,24,335.0,119,61.36,7301.44
103,24,462.0,129,50.35,6495.66
104,24,158.0,195,5.94,1158.04
105,24,235.0,471,7.73,3640.77
106,24,317.0,276,64.78,17879.16
107,24,456.0,302,40.73,12300.23
108,25,481.0,466,1722.02,802461.76
109,25,306.0,444,423.61,188084.62
110,26,446.0,499,50.89,25394.58
111,26,462.0,201,55.25,11104.52
112,26,488.0,354,221.98,78579.94
113,26,111.0,167,18.06,3015.3
114,26,410.0,487,8.3,4040.15
115,26,115.0,386,196.84,75980.84
116,27,481.0,101,1479.0,149379.0
117,27,598.0,357,1413.0,504441.0
118,27,111.0,32,1402.0,44864.0
119,28,87.0,365,831.6,303535.39
120,28,446.0,442,4160.88,1839107.17
121,29,324.0,30,40.8,1224.0
122,29,117.0,339,3.79,1284.81
123,29,538.0,227,1.62,367.74
124,29,197.0,79,53.62,4235.98
125,30,283.0,118,11.42,1346.99
126,30,570.0,87,62.45,5432.78
127,31,455.0,425,3900.0,1657500.0
128,31,103.0,134,2367.0,317178.0
129,31,290.0,85,1315.0,111775.0
130,31,147.0,42,1369.0,57498.0
