pr_id,request_date,dept_id,status,requester
1,5/28/2022,4,Approved,User_114
2,5/30/2022,2,Approved,User_483
3,3/16/2023,4,Approved,User_799
4,10/15/2021,4,Approved,User_216
5,4/27/2020,4,Approved,User_176
6,11/14/2022,1,Approved,User_877
7,6/17/2020,4,Approved,User_484
8,8/26/2023,1,Approved,User_456
9,1/1/2023,1,Approved,User_915
10,5/16/2022,4,Approved,User_749
11,9/17/2020,1,Approved,User_760
12,12/19/2023,2,Approved,User_517
13,2/25/2020,4,Rejected,User_643
14,10/24/2023,1,Approved,User_863
15,11/12/2022,4,Approved,User_724
16,9/10/2020,1,Rejected,User_983
17,5/2/2021,6,Approved,User_296
18,3/29/2020,2,Approved,User_863
19,11/3/2020,4,Approved,User_244
20,1/21/2021,4,Approved,User_308
21,2/28/2022,2,Approved,User_803
22,7/6/2023,1,Approved,User_151
23,12/15/2022,1,Rejected,User_132
24,12/25/2022,1,Rejected,User_365
25,8/20/2023,4,Approved,User_861
26,7/30/2022,4,Approved,User_624
27,2/9/2023,4,Approved,User_329
28,11/24/2020,4,Approved,User_298
29,10/13/2022,6,Approved,User_169
30,9/5/2022,4,Approved,User_989
31,7/22/2022,6,Approved,User_600
32,6/20/2020,4,Approved,User_103
33,10/13/2022,4,Rejected,User_958
34,12/24/2022,1,Approved,User_308
35,9/13/2021,1,Approved,User_986
36,8/20/2020,4,Approved,User_497
37,10/26/2022,4,Rejected,User_831
38,7/28/2021,4,Approved,User_305
39,7/23/2023,1,Approved,User_761
40,12/16/2022,4,Approved,User_344
41,8/23/2023,1,Rejected,User_632
42,8/11/2021,4,Approved,User_304
43,1/21/2023,1,Approved,User_706
44,3/16/2021,2,Approved,User_815
45,11/15/2022,2,Approved,User_735
46,5/9/2023,4,Rejected,User_232
47,4/22/2020,1,Approved,User_187
48,2/8/2020,4,Approved,User_389
49,5/24/2021,4,Rejected,User_573
50,5/8/2021,4,Approved,User_442
51,12/8/2021,4,Approved,User_355
52,6/4/2020,2,Approved,User_379
53,4/21/2021,4,Approved,User_731
54,1/3/2020,4,Approved,User_969
55,11/3/2020,4,Rejected,User_271
56,3/6/2021,4,Approved,User_940
57,8/5/2021,4,Approved,User_653
58,3/10/2023,1,Approved,User_450
59,7/18/2023,5,Approved,User_213
60,2/16/2020,4,Approved,User_496
61,2/19/2021,2,Approved,User_447
62,7/16/2021,4,Approved,User_389
63,12/24/2023,4,Rejected,User_806
64,8/31/2022,1,Approved,User_997
65,1/10/2020,4,Approved,User_935
66,11/19/2021,1,Approved,User_782
67,10/17/2021,1,Approved,User_260
68,12/24/2023,1,Approved,User_323
69,1/25/2023,5,Rejected,User_185
70,3/8/2022,4,Approved,User_533
71,3/18/2023,1,Approved,User_979
72,1/22/2022,4,Approved,User_950
73,1/19/2020,1,Approved,User_304
74,3/6/2022,1,Approved,User_178
75,6/27/2020,4,Approved,User_606
76,4/19/2020,1,Rejected,User_948
77,3/27/2022,1,Approved,User_198
78,5/27/2022,4,Approved,User_734
79,3/27/2023,4,Approved,User_572
80,5/27/2020,2,Approved,User_536
81,10/15/2023,4,Approved,User_893
82,9/7/2021,1,Approved,User_694
83,3/18/2023,4,Approved,User_648
84,3/14/2021,1,Approved,User_142
85,7/26/2023,4,Approved,User_141
86,6/8/2020,1,Rejected,User_365
87,9/23/2022,1,Approved,User_936
88,8/5/2021,1,Approved,User_998
89,2/17/2023,1,Approved,User_654
90,11/7/2021,1,Approved,User_801
91,5/24/2020,4,Approved,User_159
92,6/17/2022,4,Approved,User_197
93,6/20/2021,4,Approved,User_668
94,10/9/2021,4,Approved,User_433
95,4/17/2020,4,Approved,User_880
96,12/24/2023,4,Approved,User_575
97,5/26/2021,4,Approved,User_629
98,4/16/2022,4,Approved,User_225
99,12/14/2022,4,Approved,User_298
100,3/16/2023,1,Approved,User_686
101,1/6/2020,4,Approved,User_812
102,8/8/2022,1,Approved,User_919
103,3/21/2022,1,Approved,User_222
104,6/7/2021,4,Rejected,User_835
105,1/31/2020,6,Approved,User_601
106,9/4/2023,4,Approved,User_192
107,7/22/2023,4,Approved,User_270
108,11/1/2020,1,Approved,User_462
109,9/28/2021,4,Approved,User_544
110,4/8/2022,2,Approved,User_870
111,10/20/2022,1,Approved,User_322
112,5/21/2020,1,Approved,User_615
113,5/5/2021,4,Approved,User_362
114,4/30/2022,2,Approved,User_601
115,2/18/2021,4,Rejected,User_325
116,5/16/2023,2,Approved,User_477
117,11/21/2023,4,Approved,User_775
118,5/31/2021,4,Approved,User_974
119,5/11/2023,1,Approved,User_536
120,11/20/2022,5,Approved,User_761
121,10/20/2023,4,Approved,User_887
122,4/10/2021,1,Approved,User_311
123,1/13/2020,1,Approved,User_257
124,1/24/2022,4,Approved,User_670
125,6/5/2023,4,Approved,User_120
126,10/10/2020,4,Approved,User_244
127,3/17/2020,4,Approved,User_228
128,8/22/2021,4,Approved,User_404
129,9/14/2023,4,Rejected,User_167
130,3/24/2021,1,Approved,User_266
131,10/26/2023,4,Approved,User_122
132,1/19/2023,6,Approved,User_313
133,10/9/2020,1,Approved,User_807
134,7/30/2022,2,Approved,User_663
135,8/7/2023,4,Approved,User_644
136,2/13/2023,1,Approved,User_394
137,3/10/2023,1,Approved,User_791
138,5/14/2020,1,Approved,User_337
139,6/9/2023,1,Approved,User_215
140,9/3/2023,5,Approved,User_875
141,5/15/2020,1,Rejected,User_400
142,2/16/2023,4,Approved,User_877
143,1/5/2021,4,Approved,User_379
144,3/21/2022,4,Approved,User_520
145,2/23/2021,4,Rejected,User_784
146,8/4/2023,2,Approved,User_357
147,12/4/2022,4,Approved,User_719
148,9/3/2021,4,Approved,User_688
149,1/17/2020,1,Approved,User_872
150,8/22/2021,1,Approved,User_834
151,6/14/2023,4,Approved,User_521
152,2/18/2022,4,Rejected,User_743
153,9/25/2023,5,Approved,User_807
154,3/16/2023,4,Approved,User_323
155,8/10/2023,1,Rejected,User_818
156,7/28/2023,1,Approved,User_166
157,8/24/2021,2,Approved,User_560
158,8/5/2023,6,Rejected,User_686
159,10/12/2023,4,Rejected,User_550
160,3/16/2021,1,Approved,User_456
161,4/24/2020,4,Approved,User_992
162,3/22/2020,4,Approved,User_134
163,12/3/2023,4,Approved,User_126
164,5/26/2020,4,Approved,User_241
165,6/27/2020,4,Rejected,User_425
166,9/18/2022,4,Approved,User_160
167,3/4/2023,4,Approved,User_292
168,8/9/2023,2,Approved,User_402
169,5/10/2020,4,Approved,User_522
170,12/28/2020,1,Approved,User_253
171,3/21/2023,4,Rejected,User_435
172,8/22/2020,4,Approved,User_840
173,1/3/2020,4,Approved,User_541
174,12/3/2022,4,Approved,User_476
175,3/17/2023,1,Approved,User_101
176,1/19/2021,4,Approved,User_215
177,11/4/2020,4,Rejected,User_915
178,9/28/2022,4,Approved,User_594
179,10/14/2020,4,Approved,User_710
180,3/27/2023,5,Approved,User_191
181,7/1/2021,4,Approved,User_542
182,10/13/2022,1,Approved,User_721
183,5/11/2021,2,Approved,User_862
184,4/24/2020,1,Approved,User_445
185,1/3/2021,1,Approved,User_417
186,2/2/2020,1,Approved,User_466
187,4/19/2023,4,Rejected,User_221
188,8/17/2021,6,Approved,User_489
