pr_line_id,pr_id,item_id,qty_requested
1,1,474,12
2,1,275,83
3,2,3,59
4,2,523,32
5,3,532,33
6,3,361,16
7,3,241,41
8,3,475,54
9,4,452,75
10,5,419,79
11,6,517,74
12,6,321,37
13,6,533,98
14,7,129,9
15,7,304,19
16,8,448,89
17,9,421,19
18,9,596,85
19,9,472,90
20,9,47,70
21,9,272,32
22,10,412,76
23,10,116,46
24,11,78,87
25,12,213,44
26,12,428,28
27,13,518,55
28,13,498,87
29,14,349,38
30,15,81,6
31,15,170,41
32,15,428,20
33,15,43,75
34,16,303,83
35,16,426,64
36,16,77,79
37,16,596,16
38,17,161,20
39,18,70,65
40,18,329,69
41,18,286,42
42,19,555,65
43,19,451,43
44,19,532,97
45,20,452,43
46,21,266,78
47,21,108,71
48,22,383,3
49,22,580,41
50,22,12,38
51,23,109,75
52,23,527,7
53,24,10,88
54,24,389,71
55,25,375,84
56,26,412,51
57,26,129,28
58,26,190,94
59,26,99,25
60,27,23,45
61,27,544,11
62,27,110,96
63,27,41,94
64,27,370,74
65,28,259,67
66,29,529,51
67,30,315,52
68,30,317,66
69,31,347,88
70,31,39,1
71,31,591,31
72,31,45,100
73,32,538,35
74,32,194,34
75,32,205,84
76,32,197,23
77,32,236,58
78,33,382,25
79,33,471,100
80,33,122,52
81,34,112,75
82,34,580,9
83,35,174,45
84,35,600,21
85,35,533,36
86,35,388,32
87,36,190,51
88,37,354,50
89,37,434,10
90,37,547,27
91,37,504,19
92,38,568,90
93,39,517,57
94,39,589,63
95,40,416,62
96,40,135,11
97,41,426,72
98,41,527,81
99,41,230,43
100,42,491,92
101,42,490,72
102,42,238,80
103,43,403,18
104,43,309,82
105,43,75,96
106,43,303,74
107,43,386,33
108,44,3,58
109,44,238,24
110,45,395,58
111,45,459,32
112,46,531,38
113,46,131,18
114,46,492,17
115,46,27,67
116,46,156,54
117,47,332,53
118,47,585,83
119,48,423,92
120,48,19,91
121,49,131,38
122,49,355,74
123,50,483,71
124,50,178,88
125,50,291,62
126,50,154,80
127,50,594,13
128,51,419,5
129,51,225,40
130,51,248,24
131,51,144,99
132,51,416,94
133,52,481,54
134,52,207,25
135,52,247,45
136,53,355,6
137,54,278,38
138,54,185,96
139,55,295,100
140,55,591,75
141,55,571,52
142,55,269,22
143,56,539,97
144,56,181,62
145,56,385,49
146,57,520,37
147,57,167,2
148,57,206,4
149,57,412,63
150,58,112,99
151,59,268,20
152,59,40,26
153,60,419,55
154,60,368,85
